f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.15620919,  0.13700713,  0.14282566,  0.16318405,  0.16518616,  0.12612777,  0.14257604,  0.14934425,  0.16948325, -0.00041543
  0.34143816,  0.26800024,  0.29087347,  0.30504117,  0.49120618,  0.24377051,  0.25218938,  0.35190773,  0.39742042, -0.00711449
  0.36242586,  0.27681193,  0.31315969,  0.35823201,  0.51151732,  0.24251708,  0.30736508,  0.35983791,  0.44422075, -0.00755644
  0.11674622,  0.10818077,  0.11851695,  0.12300775,  0.12767634,  0.11056942,  0.11355940,  0.13079754,  0.13418626,  0.00010396
  0.16787173,  0.14462393,  0.14603957,  0.16521885,  0.16823600,  0.12827157,  0.14274969,  0.14533931,  0.16765595,  0.00059511
  0.18491586,  0.16338975,  0.18694562,  0.19186084,  0.20693424,  0.16236998,  0.18226307,  0.19310742,  0.20983184, -0.00110373
  0.32434550,  0.26270162,  0.28049083,  0.31460075,  0.38488303,  0.22955471,  0.25152474,  0.33663358,  0.33754135, -0.00317550
  0.16828413,  0.17639428,  0.17759412,  0.18046248,  0.18795996,  0.19036538,  0.19311424,  0.19442377,  0.20122149,  0.00055484
  0.16692189,  0.14587818,  0.15169443,  0.17149429,  0.19329349,  0.13508335,  0.15465911,  0.16647117,  0.20052123, -0.00008661
  0.22368732,  0.21431661,  0.22084367,  0.22953053,  0.26745140,  0.20560512,  0.21572125,  0.26651323,  0.27050254, -0.00143385
  0.14580080,  0.13018692,  0.14295082,  0.14389011,  0.15933104,  0.12906395,  0.13938423,  0.14039295,  0.15554112, -0.00047012
  0.29554644,  0.23216298,  0.24443447,  0.28465205,  0.35502765,  0.19883977,  0.23698547,  0.26453732,  0.36071718,  0.00146733
  0.34653565,  0.26695156,  0.30907659,  0.37699359,  0.41285328,  0.27878955,  0.31787709,  0.33924433,  0.36824234, -0.00140999
  0.14113529,  0.13086842,  0.13704675,  0.14605374,  0.15411980,  0.12592562,  0.13496444,  0.14943727,  0.15726849, -0.00038961
  0.18877167,  0.16302632,  0.17769280,  0.18728005,  0.22368007,  0.15666111,  0.17363285,  0.18805731,  0.21738464, -0.00128948
